n,p,calib_reps,calib_quantile,d_n,C_calibrated
500,200,2000,0.99,0.2004437580428760,6.605917875014410
500,750,2000,0.99,0.2333210933629370,7.689438655078690
750,500,2000,0.99,0.15788906253809200,6.703497128039970
